weight,ex_total,cur_total,diff
0.0,6.761363636363637,7.522727272727271,0.761363636363634
0.005,6.772556818181818,7.520113636363636,0.7475568181818177
0.01,6.7837499999999995,7.517499999999999,0.7337499999999997
0.015,6.794943181818182,7.5148863636363625,0.7199431818181807
0.02,6.806136363636363,7.512272727272727,0.7061363636363636
0.025,6.817329545454545,7.50965909090909,0.6923295454545455
0.03,6.828522727272727,7.507045454545453,0.6785227272727257
0.035,6.839715909090908,7.504431818181816,0.6647159090909076
0.04,6.850909090909091,7.501818181818181,0.6509090909090904
0.045,6.862102272727271,7.499204545454544,0.6371022727272733
0.05,6.873295454545454,7.496590909090909,0.6232954545454543
0.055,6.884488636363637,7.493977272727273,0.6094886363636363
0.06,6.895681818181817,7.4913636363636344,0.5956818181818173
0.065,6.906875,7.4887500000000005,0.5818750000000001
0.07,6.918068181818182,7.486136363636362,0.5680681818181803
0.075,6.929261363636363,7.483522727272725,0.5542613636363622
0.08,6.940454545454545,7.480909090909091,0.540454545454546
0.085,6.951647727272725,7.478295454545453,0.5266477272727279
0.09,6.962840909090909,7.475681818181818,0.512840909090909
0.095,6.974034090909091,7.473068181818181,0.49903409090909
0.1,6.985227272727272,7.470454545454545,0.48522727272727284
0.105,6.996420454545453,7.467840909090907,0.4714204545454539
0.11,7.0076136363636365,7.4652272727272715,0.45761363636363495
0.115,7.018806818181818,7.462613636363637,0.44380681818181866
0.12,7.029999999999999,7.46,0.4300000000000006
0.125,7.041193181818181,7.457386363636362,0.41619318181818166
0.13,7.052386363636362,7.454772727272727,0.4023863636363645
0.135,7.063579545454545,7.452159090909091,0.38857954545454554
0.14,7.074772727272727,7.449545454545453,0.3747727272727266
0.145,7.085965909090909,7.446931818181817,0.36096590909090764
0.15,7.097159090909091,7.44431818181818,0.3471590909090887
0.155,7.108352272727273,7.441704545454544,0.3333522727272715
0.16,7.119545454545454,7.439090909090909,0.31954545454545524
0.165,7.1307386363636365,7.436477272727273,0.3057386363636363
0.17,7.141931818181817,7.433863636363635,0.29193181818181824
0.17500000000000002,7.153124999999999,7.431249999999999,0.2781249999999993
0.18,7.164318181818182,7.428636363636363,0.26431818181818123
0.185,7.175511363636362,7.426022727272726,0.25051136363636406
0.19,7.186704545454546,7.423409090909091,0.2367045454545451
0.195,7.197897727272727,7.420795454545455,0.22289772727272794
0.2,7.209090909090909,7.418181818181818,0.209090909090909
0.20500000000000002,7.220284090909091,7.4155681818181804,0.19528409090908916
0.21,7.231477272727272,7.412954545454545,0.18147727272727288
0.215,7.242670454545455,7.410340909090908,0.16767045454545304
0.22,7.2538636363636355,7.407727272727271,0.15386363636363587
0.225,7.265056818181819,7.4051136363636365,0.1400568181818178
0.23,7.27625,7.4025,0.12624999999999975
0.23500000000000001,7.2874431818181815,7.399886363636363,0.11244318181818169
0.24,7.298636363636364,7.397272727272727,0.09863636363636363
0.245,7.309829545454546,7.394659090909089,0.08482954545454291
0.25,7.3210227272727275,7.392045454545453,0.07102272727272574
0.255,7.332215909090908,7.389431818181818,0.057215909090910344
0.26,7.34340909090909,7.38681818181818,0.04340909090908962
0.265,7.354602272727272,7.384204545454544,0.02960227272727245
0.27,7.365795454545454,7.381590909090908,0.01579545454545439
0.275,7.376988636363636,7.378977272727272,0.001988636363635443
0.28,7.388181818181819,7.376363636363636,-0.011818181818182616
0.28500000000000003,7.399375,7.373749999999999,-0.025625000000000675
0.29,7.4105681818181806,7.371136363636361,-0.03943181818181962
0.295,7.421761363636364,7.368522727272726,-0.05323863636363768
0.3,7.432954545454544,7.36590909090909,-0.06704545454545396
0.305,7.444147727272727,7.363295454545454,-0.0808522727272738
0.31,7.455340909090909,7.360681818181818,-0.09465909090909097
0.315,7.46653409090909,7.358068181818181,-0.10846590909090903
0.32,7.477727272727272,7.355454545454545,-0.12227272727272709
0.325,7.488920454545456,7.352840909090909,-0.13607954545454692
0.33,7.500113636363635,7.350227272727271,-0.1498863636363641
0.335,7.511306818181819,7.347613636363637,-0.16369318181818127
0.34,7.5225,7.344999999999999,-0.1775000000000011
0.34500000000000003,7.533693181818182,7.342386363636363,-0.19130681818181916
0.35000000000000003,7.544886363636364,7.339772727272726,-0.2051136363636381
0.355,7.556079545454544,7.33715909090909,-0.2189204545454544
0.36,7.5672727272727265,7.334545454545454,-0.23272727272727245
0.365,7.57846590909091,7.331931818181817,-0.24653409090909228
0.37,7.589659090909091,7.329318181818182,-0.26034090909090946
0.375,7.6008522727272725,7.326704545454545,-0.2741477272727275
0.38,7.612045454545454,7.324090909090909,-0.2879545454545447
0.385,7.623238636363634,7.321477272727272,-0.30176136363636274
0.39,7.634431818181818,7.318863636363636,-0.3155681818181817
0.395,7.645625,7.316249999999999,-0.32937500000000064
0.4,7.65681818181818,7.313636363636362,-0.3431818181818187
0.405,7.668011363636364,7.311022727272728,-0.35698863636363587
0.41000000000000003,7.679204545454544,7.30840909090909,-0.37079545454545393
0.41500000000000004,7.690397727272727,7.305795454545454,-0.3846022727272729
0.42,7.701590909090909,7.303181818181819,-0.39840909090909005
0.425,7.712784090909091,7.300568181818181,-0.4122159090909099
0.43,7.723977272727273,7.297954545454545,-0.42602272727272794
0.435,7.735170454545452,7.295340909090908,-0.4398295454545442
0.44,7.746363636363636,7.292727272727273,-0.45363636363636317
0.445,7.7575568181818175,7.290113636363636,-0.46744318181818123
0.45,7.76875,7.2875,-0.4812500000000002
0.455,7.779943181818181,7.284886363636363,-0.49505681818181824
0.46,7.791136363636365,7.282272727272727,-0.5088636363636381
