Emotional connection,Shared values & life goals,Aesthetics & taste,ex_total,cur_total,diff
0.05,0.05,0.05,6.97608695652174,7.432608695652174,0.4565217391304346
0.05,0.05,0.07333333333333333,6.978115942028986,7.446811594202899,0.4686956521739125
0.05,0.05,0.09666666666666668,6.980144927536231,7.461014492753623,0.4808695652173922
0.05,0.05,0.12000000000000001,6.982173913043478,7.475217391304348,0.49304347826087014
0.05,0.05,0.14333333333333334,6.984202898550723,7.4894202898550715,0.5052173913043481
0.05,0.05,0.16666666666666669,6.98623188405797,7.503623188405797,0.5173913043478269
0.05,0.05,0.19,6.9882608695652175,7.517826086956521,0.5295652173913039
0.05,0.05,0.21333333333333332,6.990289855072462,7.532028985507246,0.5417391304347836
0.05,0.05,0.2366666666666667,6.99231884057971,7.546231884057971,0.5539130434782615
0.05,0.05,0.26,6.9943478260869565,7.560434782608696,0.5660869565217395
0.05,0.05,0.2833333333333333,6.996376811594203,7.57463768115942,0.5782608695652165
0.05,0.05,0.30666666666666664,6.99840579710145,7.588840579710146,0.5904347826086962
0.05,0.05,0.33,7.000434782608696,7.603043478260869,0.6026086956521723
0.05,0.05,0.35333333333333333,7.002463768115941,7.617246376811593,0.614782608695652
0.05,0.05,0.37666666666666665,7.004492753623189,7.631449275362318,0.6269565217391291
0.05,0.05,0.4,7.006521739130434,7.645652173913043,0.6391304347826088
0.05,0.07333333333333333,0.05,6.954782608695652,7.446811594202899,0.49202898550724683
0.05,0.07333333333333333,0.07333333333333333,6.9568115942028985,7.461014492753623,0.5042028985507248
0.05,0.07333333333333333,0.09666666666666668,6.958840579710144,7.475217391304348,0.5163768115942036
0.05,0.07333333333333333,0.12000000000000001,6.96086956521739,7.4894202898550715,0.5285507246376815
0.05,0.07333333333333333,0.14333333333333334,6.962898550724638,7.503623188405797,0.5407246376811585
0.05,0.07333333333333333,0.16666666666666669,6.964927536231884,7.517826086956521,0.5528985507246373
0.05,0.07333333333333333,0.19,6.96695652173913,7.532028985507246,0.5650724637681162
0.05,0.07333333333333333,0.21333333333333332,6.968985507246376,7.5462318840579705,0.5772463768115941
0.05,0.07333333333333333,0.2366666666666667,6.971014492753623,7.560434782608695,0.589420289855072
0.05,0.07333333333333333,0.26,6.973043478260869,7.5746376811594205,0.6015942028985517
0.05,0.07333333333333333,0.2833333333333333,6.975072463768115,7.588840579710144,0.6137681159420287
0.05,0.07333333333333333,0.30666666666666664,6.977101449275363,7.603043478260869,0.6259420289855058
0.05,0.07333333333333333,0.33,6.979130434782608,7.617246376811593,0.6381159420289855
0.05,0.07333333333333333,0.35333333333333333,6.981159420289854,7.6314492753623195,0.6502898550724652
0.05,0.07333333333333333,0.37666666666666665,6.983188405797101,7.645652173913042,0.6624637681159413
0.05,0.07333333333333333,0.4,6.985217391304348,7.659855072463769,0.674637681159421
0.05,0.09666666666666668,0.05,6.933478260869564,7.461014492753623,0.5275362318840591
0.05,0.09666666666666668,0.07333333333333333,6.935507246376812,7.475217391304348,0.5397101449275361
0.05,0.09666666666666668,0.09666666666666668,6.937536231884057,7.4894202898550715,0.551884057971014
0.05,0.09666666666666668,0.12000000000000001,6.939565217391304,7.503623188405798,0.5640579710144937
0.05,0.09666666666666668,0.14333333333333334,6.941594202898552,7.517826086956521,0.5762318840579699
0.05,0.09666666666666668,0.16666666666666669,6.943623188405796,7.532028985507246,0.5884057971014496
0.05,0.09666666666666668,0.19,6.945652173913043,7.5462318840579705,0.6005797101449275
0.05,0.09666666666666668,0.21333333333333332,6.9476811594202905,7.560434782608695,0.6127536231884045
0.05,0.09666666666666668,0.2366666666666667,6.949710144927536,7.5746376811594205,0.6249275362318842
0.05,0.09666666666666668,0.26,6.951739130434781,7.588840579710144,0.637101449275363
0.05,0.09666666666666668,0.2833333333333333,6.9537681159420295,7.60304347826087,0.6492753623188401
0.05,0.09666666666666668,0.30666666666666664,6.955797101449274,7.617246376811594,0.6614492753623198
0.05,0.09666666666666668,0.33,6.957826086956523,7.631449275362318,0.673623188405795
0.05,0.09666666666666668,0.35333333333333333,6.9598550724637676,7.645652173913042,0.6857971014492747
0.05,0.09666666666666668,0.37666666666666665,6.961884057971014,7.659855072463769,0.6979710144927544
0.05,0.09666666666666668,0.4,6.963913043478263,7.674057971014493,0.7101449275362306
0.05,0.12000000000000001,0.05,6.912173913043477,7.475217391304349,0.5630434782608713
0.05,0.12000000000000001,0.07333333333333333,6.914202898550725,7.489420289855072,0.5752173913043475
0.05,0.12000000000000001,0.09666666666666668,6.916231884057971,7.503623188405797,0.5873913043478263
0.05,0.12000000000000001,0.12000000000000001,6.918260869565217,7.517826086956521,0.5995652173913042
0.05,0.12000000000000001,0.14333333333333334,6.920289855072463,7.532028985507247,0.6117391304347839
0.05,0.12000000000000001,0.16666666666666669,6.9223188405797105,7.5462318840579705,0.62391304347826
0.05,0.12000000000000001,0.19,6.924347826086956,7.560434782608695,0.6360869565217389
0.05,0.12000000000000001,0.21333333333333332,6.926376811594203,7.57463768115942,0.6482608695652168
0.05,0.12000000000000001,0.2366666666666667,6.928405797101448,7.588840579710145,0.6604347826086974
0.05,0.12000000000000001,0.26,6.930434782608696,7.603043478260869,0.6726086956521726
0.05,0.12000000000000001,0.2833333333333333,6.932463768115942,7.617246376811593,0.6847826086956514
0.05,0.12000000000000001,0.30666666666666664,6.934492753623189,7.631449275362319,0.6969565217391294
0.05,0.12000000000000001,0.33,6.936521739130434,7.645652173913042,0.7091304347826082
0.05,0.12000000000000001,0.35333333333333333,6.938550724637681,7.659855072463769,0.7213043478260879
